<xml>
Grade 	CC Domain	Domain	Sub Domain	Minor Domain	Competancy	Notes
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Subtract within 10.	Subtract 1 from a number 1-10.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Subtract within 10.	Use the count back strategy to find differences within 10.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Subtract within 10.	Use a number line to find differences within 10.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Subtract within 10.	Use the add to subtract strategy to find differences within 10.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 20.	Add two numbers within a sum of 20.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 20.	Add doubles from 6-10.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 20.	Use the doubles plus 1 strategy to find sums within 20.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 20.	Use the doubles minus 1 strategy to find sums within 20.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 20.	Use the count on strategy to find sums within 20.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 20.	Use a number line to find sums within 20.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 20.	Add three numbers within a sum of 20.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 20.	Use the make a ten strategy to add three numbers within a sum of 20.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 20.	Use the make a ten strategy to add two numbers within a sum of 20.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 20.	Use the make a ten strategy to add 9.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Subtract within 20.	Subtract from a number within 20.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Subtract within 20.	Use the count back strategy to find differences within 20.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Subtract within 20.	Use a number line to find differences within 20.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Subtract within 20.	Use the add to subtract strategy to find differences within 20.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Subtract within 20.	Use the get to ten strategy to subtract within 20.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Subtract within 20.	Use the get to ten strategy to subtract 9.	
1	OA	Operations and Algebraic Thinking	Apply properties of operations as strategies to add and subtract.	Add within 20.	Use the Commutative Property of Addition (add in any order) to add two numbers.	
1	OA	Operations and Algebraic Thinking	Apply properties of operations as strategies to add and subtract.	Add within 20.	Use the Associative Property of Addition (change the order of the addends) to add three numbers.	
1	OA	Operations and Algebraic Thinking	Work with addition and subtraction equations.	Add and subtract within 20.	Tell when an equation is true.	
1	OA	Operations and Algebraic Thinking	Work with addition and subtraction equations.	Add and subtract within 20.	Tell when an equation is false.	
1	OA	Operations and Algebraic Thinking	Work with addition and subtraction equations.	Add and subtract within 20.	Find the missing number that makes an equation true.	
1	OA	Operations and Algebraic Thinking	Work with addition and subtraction equations.	Relate addition and subtraction within 20.	Given an addition equation, write a related subtraction equation.	
1	OA	Operations and Algebraic Thinking	Work with addition and subtraction equations.	Relate addition and subtraction within 20.	Given a subtraction equation, write a related addition equation.	
1	OA	Operations and Algebraic Thinking	Work with addition and subtraction equations.	Relate addition and subtraction within 20.	Write two addition equations for a fact family.	
1	OA	Operations and Algebraic Thinking	Work with addition and subtraction equations.	Relate addition and subtraction within 20.	Write two subtraction equations for a fact family.	
1	NBT	Numbers and Operations in Base Ten	Extend the counting sequence.	Count to 120.	Count to 120 by ones.	
1	NBT	Numbers and Operations in Base Ten	Extend the counting sequence.	Count to 120.	Count to 120 by fives.	
1	NBT	Numbers and Operations in Base Ten	Extend the counting sequence.	Count to 120.	Count to 120 by tens.	
1	NBT	Numbers and Operations in Base Ten	Extend the counting sequence.	Count to 120.	Count on from a number by ones.	
1	NBT	Numbers and Operations in Base Ten	Extend the counting sequence.	Count to 120.	Count on from a number by fives.	
1	NBT	Numbers and Operations in Base Ten	Extend the counting sequence.	Count to 120.	Count on from a number by tens.	
1	NBT	Numbers and Operations in Base Ten	Extend the counting sequence.	Count to 120.	Count up to 120 objects.	
1	NBT	Numbers and Operations in Base Ten	Extend the counting sequence.	Count to 120.	Represent a number of objects with a written numeral 0-120.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Work with two-digit numbers.	Identify a group of 10 objects, or 10 ones, as 1 ten.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Work with two-digit numbers.	Represent the numbers 11-19 as 1 ten and 1-9 ones.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Work with two-digit numbers.	Represent the number 10 as 1 ten.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Work with two-digit numbers.	Represent the number 20 as 2 tens.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Work with two-digit numbers.	Represent the number 30 as 3 tens.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Work with two-digit numbers.	Represent the number 40 as 4 tens.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Work with two-digit numbers.	Represent the number 50 as 5 tens.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Work with two-digit numbers.	Represent the number 60 as 6 tens.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Work with two-digit numbers.	Represent the number 70 as 7 tens.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Work with two-digit numbers.	Represent the number 80 as 8 tens.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Work with two-digit numbers.	Represent the number 90 as 9 tens.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Work with two-digit numbers.	Represent the number 100 as 10 tens.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Work with two-digit numbers.	Identify the value of the ones digit in a two-digit number.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Work with two-digit numbers.	Identify the value of the tens digit in a two-digit number.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Work with two-digit numbers.	Use drawings (quick sketches) to model two-digit numbers.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Compare two-digit numbers.	Use drawings or objects (base ten blocks) to compare two numbers from 11-19.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Compare two-digit numbers.	Use drawings or objects (base ten blocks) to compare two two-digit numbers.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Compare two-digit numbers.	Use place value to compare two two-digit numbers.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Compare two-digit numbers.	Compare the tens digits.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Compare two-digit numbers.	Compare the ones digits.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Compare two-digit numbers.	Tell when a number is greater than another number.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Compare two-digit numbers.	Tell when a number is less than another number.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Compare two-digit numbers.	Tell when two numbers are equal.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Compare two-digit numbers.	Use the greater than symbol (&gt;) to compare two numbers.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Compare two-digit numbers.	Use the less than symbol (&lt;) to compare two numbers.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Compare two-digit numbers.	Use the equal sign (=) to compare two numbers.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Compare two-digit numbers.	Plot two-digit numbers on a number line.	
1	NBT	Numbers and Operations in Base Ten	Understand place value.	Compare two-digit numbers.	Use a number line to compare two two-digit numbers.	
1	NBT	Numbers and Operations in Base Ten	Add and subtract within 100.	Add within 100.	Mentally find 10 more than a given two-digit number.	
1	NBT	Numbers and Operations in Base Ten	Add and subtract within 100.	Add within 100.	Use models (base ten blocks) or drawings to add two multiples of 10.	
1	NBT	Numbers and Operations in Base Ten	Add and subtract within 100.	Add within 100.	Use a number line to add two multiples of 10.	
1	NBT	Numbers and Operations in Base Ten	Add and subtract within 100.	Add within 100.	Add a multiple of 10 to a given one- or two-digit number.	
1	NBT	Numbers and Operations in Base Ten	Add and subtract within 100.	Add within 100.	Add a one-digit number and a two-digit number.	
1	NBT	Numbers and Operations in Base Ten	Add and subtract within 100.	Add within 100.	Use the make a ten strategy to add a one-digit number and a two-digit number.	
1	NBT	Numbers and Operations in Base Ten	Add and subtract within 100.	Add within 100.	Add two two-digit numbers.	
1	NBT	Numbers and Operations in Base Ten	Add and subtract within 100.	Add within 100.	Use drawings (quick sketches) to add two-digit numbers.	
1	NBT	Numbers and Operations in Base Ten	Add and subtract within 100.	Add within 100.	Use a number line to add two-digit numbers.	
1	NBT	Numbers and Operations in Base Ten	Add and subtract within 100.	Add within 100.	Use place value to add two-digit numbers.	
1	NBT	Numbers and Operations in Base Ten	Add and subtract within 100.	Add within 100.	Use the make a ten strategy to add two-digit numbers.	
1	NBT	Numbers and Operations in Base Ten	Add and subtract within 100.	Subtract within 100.	Mentally find 10 less than a given two-digit number.	
1	NBT	Numbers and Operations in Base Ten	Add and subtract within 100.	Subtract within 100.	Use models (base ten blocks) or drawings to subtract two multiples of 10.	
1	NBT	Numbers and Operations in Base Ten	Add and subtract within 100.	Subtract within 100.	Use a number line to subtract two multiples of 10.	
1	NBT	Numbers and Operations in Base Ten	Add and subtract within 100.	Subtract within 100.	Use addition to subtract two multiples of 10.	
1	MD	Measurement and Data	Measure lengths indirectly.	Order three objects by length.	Identify the longest of three objects.	
1	MD	Measurement and Data	Measure lengths indirectly.	Order three objects by length.	Identify the shortest of three objects.	
1	MD	Measurement and Data	Measure lengths indirectly.	Order three objects by length.	Order three objects from shortest to longest.	
1	MD	Measurement and Data	Measure lengths indirectly.	Order three objects by length.	Order three objects from longest to shortest.	
1	MD	Measurement and Data	Measure lengths indirectly.	Compare the lengths of two objects using a third object.	Compare the lengths of the first and third objects.	
1	MD	Measurement and Data	Measure lengths indirectly.	Compare the lengths of two objects using a third object.	Compare the lengths of the second and third objects.	
1	MD	Measurement and Data	Measure lengths indirectly.	Compare the lengths of two objects using a third object.	Identify the longer of two objects.	
1	MD	Measurement and Data	Measure lengths indirectly.	Compare the lengths of two objects using a third object.	Identify the shorter of two objects.	
1	MD	Measurement and Data	Measure lengths.	Measure lengths using like objects.	Align like objects from the start to the end of the object being measured.	Examples of like objects: color tiles, paper clips
1	MD	Measurement and Data	Measure lengths.	Measure lengths using like objects.	Align like objects without any gaps or overlaps.	
1	MD	Measurement and Data	Measure lengths.	Measure lengths using like objects.	Tell how many units long an objects is.	
1	MD	Measurement and Data	Tell and write time.	Tell time on an analog clock.	Write the time shown by the hour hand using "o'clock."	
1	MD	Measurement and Data	Tell and write time.	Tell time on an analog clock.	Write the time shown by the hour hand using "half past."	
1	MD	Measurement and Data	Tell and write time.	Tell time on an analog clock.	Draw the hour hand to show time to the hour.	
1	MD	Measurement and Data	Tell and write time.	Tell time on an analog clock.	Draw the hour hand to show time to the half hour.	
1	MD	Measurement and Data	Tell and write time.	Tell time on an analog clock.	Write the time shown by the hour and minute hands to the hour.	
1	MD	Measurement and Data	Tell and write time.	Tell time on an analog clock.	Write the time shown by the hour and minute hands to the half hour.	
1	MD	Measurement and Data	Tell and write time.	Tell time on an analog clock.	Draw the hour and minute hands to show time to the hour.	
1	MD	Measurement and Data	Tell and write time.	Tell time on an analog clock.	Draw the hour and minute hands to show time to the half hour.	
1	MD	Measurement and Data	Tell and write time.	Tell time on analog and digital clocks to the hour and half hour.	Write the time shown by an analog clock on a digital clock.	
1	MD	Measurement and Data	Tell and write time.	Tell time on analog and digital clocks to the hour and half hour.	Draw the time shown by a digital clock on an analog clock.	
1	MD	Measurement and Data	Represent and interpret data.	Represent data with up to three categories.	Record data in a tally chart.	
1	MD	Measurement and Data	Represent and interpret data.	Represent data with up to three categories.	Represent data in a picture graph using a single-unit scale.	
1	MD	Measurement and Data	Represent and interpret data.	Represent data with up to three categories.	Represent data in a bar graph using a single-unit scale.	Bar graphs can be horizontal or vertical.
1	MD	Measurement and Data	Represent and interpret data.	Interpret data in a tally chart with up to three categories.	Tell how many data points are in a category.	
1	MD	Measurement and Data	Represent and interpret data.	Interpret data in a tally chart with up to three categories.	Tell how many data points there are in all.	
1	MD	Measurement and Data	Represent and interpret data.	Interpret data in a tally chart with up to three categories.	Compare the numbers of data points in two categories.	
1	MD	Measurement and Data	Represent and interpret data.	Interpret data in a tally chart with up to three categories.	Compare the numbers of data points in each category.	
1	MD	Measurement and Data	Represent and interpret data.	Interpret data in a tally chart with up to three categories.	Tell how many more or fewer data points there are in one category than another.	
1	MD	Measurement and Data	Represent and interpret data.	Interpret data in a picture graph with up to three categories and a single-unit scale.	Tell how many data points are in a category.	
1	MD	Measurement and Data	Represent and interpret data.	Interpret data in a picture graph with up to three categories and a single-unit scale.	Tell how many data points there are in all.	
1	MD	Measurement and Data	Represent and interpret data.	Interpret data in a picture graph with up to three categories and a single-unit scale.	Compare the numbers of data points in two categories.	
1	MD	Measurement and Data	Represent and interpret data.	Interpret data in a picture graph with up to three categories and a single-unit scale.	Compare the numbers of data points in each category.	
1	MD	Measurement and Data	Represent and interpret data.	Interpret data in a picture graph with up to three categories and a single-unit scale.	Tell how many more or fewer data points there are in one category than another.	
1	MD	Measurement and Data	Represent and interpret data.	Interpret data in a bar graph with up to three categories and a single-unit scale.	Tell how many data points are in a category.	
1	MD	Measurement and Data	Represent and interpret data.	Interpret data in a bar graph with up to three categories and a single-unit scale.	Tell how many data points there are in all.	
1	MD	Measurement and Data	Represent and interpret data.	Interpret data in a bar graph with up to three categories and a single-unit scale.	Compare the numbers of data points in two categories.	
1	MD	Measurement and Data	Represent and interpret data.	Interpret data in a bar graph with up to three categories and a single-unit scale.	Compare the numbers of data points in each category.	
1	MD	Measurement and Data	Represent and interpret data.	Interpret data in a bar graph with up to three categories and a single-unit scale.	Tell how many more or fewer data points there are in one category than another.	
1	G	Geometry	Reason with shapes and their attributes.	Sort two-dimensional shapes.	Sort shapes by whether they are open or closed.	
1	G	Geometry	Reason with shapes and their attributes.	Sort two-dimensional shapes.	Sort shapes by the number of (straight) sides.	
1	G	Geometry	Reason with shapes and their attributes.	Sort two-dimensional shapes.	Sort shapes by the number of vertices.	
1	G	Geometry	Reason with shapes and their attributes.	Describe two-dimensional shapes.	Identify a trapezoid.	
1	G	Geometry	Reason with shapes and their attributes.	Describe two-dimensional shapes.	Identify a rhombus.	
1	G	Geometry	Reason with shapes and their attributes.	Describe two-dimensional shapes.	Identify a triangle given its attributes.	
1	G	Geometry	Reason with shapes and their attributes.	Describe two-dimensional shapes.	Identify a rectangle given its attributes.	
1	G	Geometry	Reason with shapes and their attributes.	Describe two-dimensional shapes.	Identify a square given its attributes.	
1	G	Geometry	Reason with shapes and their attributes.	Describe two-dimensional shapes.	Identify a hexagon given its attributes.	
1	G	Geometry	Reason with shapes and their attributes.	Describe two-dimensional shapes.	Identify a trapezoid given its attributes.	
1	G	Geometry	Reason with shapes and their attributes.	Describe two-dimensional shapes.	Identify a rhombus given its attributes.	
1	G	Geometry	Reason with shapes and their attributes.	Describe two-dimensional shapes.	Identify attributes of a triangle (3 straight sides, 3 vertices).	
1	G	Geometry	Reason with shapes and their attributes.	Describe two-dimensional shapes.	Identify attributes of a rectangle (4 straight sides, 4 vertices).	
1	G	Geometry	Reason with shapes and their attributes.	Describe two-dimensional shapes.	Identify attributes of a square (4 straight sides, 4 vertices).	
1	G	Geometry	Reason with shapes and their attributes.	Describe two-dimensional shapes.	Identify attributes of a hexagon (6 straight sides, 6 vertices).	
1	G	Geometry	Reason with shapes and their attributes.	Describe two-dimensional shapes.	Identify attributes of a trapezoid (4 straight sides, 4 vertices).	
1	G	Geometry	Reason with shapes and their attributes.	Describe two-dimensional shapes.	Identify attributes of a rhombus (4 straight sides, 4 vertices).	
1	G	Geometry	Reason with shapes and their attributes.	Draw two-dimensional shapes.	Draw a triangle.	
1	G	Geometry	Reason with shapes and their attributes.	Draw two-dimensional shapes.	Draw a square.	
1	G	Geometry	Reason with shapes and their attributes.	Draw two-dimensional shapes.	Draw a rectangle.	
1	G	Geometry	Reason with shapes and their attributes.	Draw two-dimensional shapes.	Draw a hexagon.	
1	G	Geometry	Reason with shapes and their attributes.	Draw two-dimensional shapes.	Draw a trapezoid.	
1	G	Geometry	Reason with shapes and their attributes.	Draw two-dimensional shapes.	Draw a rhombus.	
1	G	Geometry	Reason with shapes and their attributes.	Combine two-dimensional shapes.	Combine two or more of the same shape to make a new shape.	
1	G	Geometry	Reason with shapes and their attributes.	Combine two-dimensional shapes.	Determine how many smaller shapes make up a larger shape.	
1	G	Geometry	Reason with shapes and their attributes.	Combine two-dimensional shapes.	Combine two or more different shapes to make a new shape.	
1	G	Geometry	Reason with shapes and their attributes.	Combine two-dimensional shapes.	Combine composite shapes to make a new shape.	
1	G	Geometry	Reason with shapes and their attributes.	Take apart two-dimensional shapes.	Draw lines to decompose a shape into smaller shapes.	
1	G	Geometry	Reason with shapes and their attributes.	Take apart two-dimensional shapes.	Identify smaller shapes that make up a larger shape.	
1	G	Geometry	Reason with shapes and their attributes.	Sort three-dimensional shapes.	Sort shapes by the type of surfaces: flat, curved, or both.	
1	G	Geometry	Reason with shapes and their attributes.	Sort three-dimensional shapes.	Sort shapes by the number of flat surfaces.	
1	G	Geometry	Reason with shapes and their attributes.	Sort three-dimensional shapes.	Sort shapes by the shape of their flat surfaces.	
1	G	Geometry	Reason with shapes and their attributes.	Describe three-dimensional shapes.	Identify a cube given its attributes.	
1	G	Geometry	Reason with shapes and their attributes.	Describe three-dimensional shapes.	Identify a rectangular prism given its attributes.	
1	G	Geometry	Reason with shapes and their attributes.	Describe three-dimensional shapes.	Identify a cylinder given its attributes.	
1	G	Geometry	Reason with shapes and their attributes.	Describe three-dimensional shapes.	Identify a cone given its attributes.	
1	G	Geometry	Reason with shapes and their attributes.	Describe three-dimensional shapes.	Identify a sphere given its attributes.	
1	G	Geometry	Reason with shapes and their attributes.	Describe three-dimensional shapes.	Identify attributes of a cube (6 flat (square) surfaces, 8 vertices, 12 edges).	
1	G	Geometry	Reason with shapes and their attributes.	Describe three-dimensional shapes.	Identify attributes of a rectangular prism (6 flat surfaces, 8 vertices, 12 edges).	
1	G	Geometry	Reason with shapes and their attributes.	Describe three-dimensional shapes.	Identify attributes of a cylinder (2 flat surfaces, 0 vertices, 0 edges).	
1	G	Geometry	Reason with shapes and their attributes.	Describe three-dimensional shapes.	Identify attributes of a cone (1 flat surface, 1 vertex, 0 edges).	
1	G	Geometry	Reason with shapes and their attributes.	Describe three-dimensional shapes.	Identify attributes of a sphere (0 flat surfaces, 0 vertices, 0 edges).	
1	G	Geometry	Reason with shapes and their attributes.	Combine three-dimensional shapes.	Combine two or more shapes to make a new shape.	
1	G	Geometry	Reason with shapes and their attributes.	Take apart three-dimensional shapes.	Identify the number and types of shapes that make up a larger structure.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Tell when a shape is partitioned into equal shares.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Tell when a shape is partitioned into unequal shares.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Identify a circle that is partitioned into two equal shares.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Draw a line to partition a circle into two equal shares.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Identify a rectangle that is partitioned into two equal shares.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Draw a line to partition a rectangle into two equal shares.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Identify a circle that is partitioned into four equal shares.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Draw lines to partition a circle into four equal shares.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Identify a rectangle that is partitioned into four equal shares.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Draw lines to partition a rectangle into four equal shares.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Describe two equal shares as halves.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Describe four equal shares as fourths.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Describe four equal shares as quarters.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Describe one of two equal shares as half of the whole.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Describe one of four equal shares as a fourth of the whole.	
1	G	Geometry	Reason with shapes and their attributes.	Partition two-dimensional shapes.	Describe one of four equal shares as a quarter of the whole.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Represent word problems involving addition within 100.	Use objects or drawings to represent addition word problems.	
2	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Represent word problems involving addition within 100.	Use a part-part-whole model to represent addition word problems.	
2	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Represent word problems involving addition within 100.	Use a bar model to represent addition word problems.	
2	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Represent word problems involving addition within 100.	Use an equation with a symbol for the unknown number to represent addition word problems.	
2	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 100.	Solve add to addition word problems.	
2	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 100.	Solve add to addition word problems with change unknown.	
2	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 100.	Solve add to addition word problems with start unknown.	
2	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 100.	Solve put together addition word problems.	
2	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 100.	Solve put together addition word problems with both addends unknown.	
2	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 100.	Solve compare word problems by adding to find a bigger unknown.	
2	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 100.	Solve compare word problems using addition to find a missing part.	
2	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 100.	Solve addition word problems with three addends.	
2	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Represent word problems involving subtraction within 100.	Use objects or drawings to represent subtraction word problems.	
2	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Represent word problems involving subtraction within 100.	Use a part-part-whole model to represent subtraction word problems.	
2	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Represent word problems involving subtraction within 100.	Use a bar model to represent subtraction word problems.	
